altitude,temperature,density,pressure
49700,270.65,0.00106588,82.80913307
49800,270.65,0.00105271,81.78594446
49900,270.65,0.00103971,80.77596329
50000,270.65,0.00102687,79.77841265
50100,270.65,0.00101419,78.79329256
50200,270.65,0.00100167,77.820603
50300,270.65,0.000989299,76.85948938
50400,270.65,0.000977083,75.91041784
50500,270.65,0.000965018,74.97307763
50600,270.65,0.000953102,74.04731335
50700,270.65,0.000941335,73.13312501
50800,270.65,0.000929712,72.23012415
50900,270.65,0.000918234,71.33838847
51000,270.65,0.000906897,70.4576072
51200,270.65,0.000884644,68.7287525
51400,270.65,0.000862938,67.04239471
51600,270.133,0.000843356,65.39589293
51800,269.582,0.000824287,63.78686161
52000,269.031,0.000805613,62.21436675
52200,268.48,0.000787325,60.67752731
52400,267.93,0.000769418,59.17599644
52600,267.379,0.000751883,57.70845584
52800,266.828,0.000734714,56.27449544
53000,266.277,0.000717904,54.87340652
53200,265.726,0.000701446,53.50448479
53400,265.176,0.000685333,52.16722712
53600,264.625,0.000669559,50.86061607
53800,264.074,0.000654117,49.58416151
54000,263.524,0.000639001,48.33743545
54200,262.973,0.000624205,47.1194592
54400,262.423,0.000609723,45.92999173
54600,261.872,0.000595547,44.76792855
54800,261.322,0.000581674,43.6332456
55000,260.771,0.000568096,42.52486242
55200,260.221,0.000554809,41.44267045
55400,259.67,0.000541806,40.38568759
55600,259.12,0.000529081,39.35364776
55800,258.57,0.000516631,38.34603734
56000,258.019,0.00050448,37.36435886
56200,257.469,0.000492528,36.40137298
56400,256.919,0.000480867,35.4636221
56600,256.369,0.000469457,34.54802474
56800,255.819,0.000458296,33.65431513
57000,255.268,0.000447377,32.781734
57200,254.718,0.000436697,31.93020728
57400,254.168,0.00042625,31.09905246
57600,253.618,0.000416031,30.28779517
57800,253.068,0.000406037,29.49610948
58000,252.518,0.000396263,28.72352641
58200,251.969,0.000386703,27.96961878
58400,251.419,0.00037355,26.95930728
58600,250.869,0.000368214,26.51607196
58800,250.319,0.000359275,25.81562873
59000,249.769,0.000350535,25.13227575
59200,249.22,0.00034199,24.46573077
59400,248.67,0.000333635,23.81534579
59600,248.12,0.000325467,23.18091779
59800,247.571,0.000317482,22.56216504
60000,247.021,0.000309676,21.95853275
60200,246.471,0.000302046,21.3698173
60400,245.922,0.000294588,20.79573753
60600,245.372,0.000287299,20.23582945
60800,244.823,0.000280174,19.68982876
61000,244.273,0.000273212,19.15742482
61200,243.724,0.000266407,18.6382796
61400,243.175,0.000259758,18.13216864
61600,242.625,0.000253261,17.63866691
61800,242.076,0.000246912,17.15757181
62000,241.527,0.000240709,16.68860014
62200,240.978,0.000234649,16.23147536
62400,240.428,0.000228728,15.78578813
62600,239.879,0.000222944,15.35146801
62800,239.33,0.000217294,14.92817676
63000,238.781,0.000211774,14.51557686
63200,238.232,0.000206384,14.11360685
63400,237.683,0.000201118,13.7217959
63600,237.134,0.000195976,13.34008539
63800,236.585,0.000190954,12.96814505
64000,236.036,0.00018605,12.60578263
64200,235.487,0.000181261,12.25273955
64400,234.939,0.000176585,11.90887725
64600,234.39,0.000172019,11.57383778
64800,233.841,0.000167561,11.24748691
65000,233.292,0.000163209,10.92963965
65200,232.744,0.000158961,10.62015789
65400,232.195,0.000154813,10.31863341
65600,231.646,0.000150765,10.02506578
65800,231.098,0.000146814,9.739250844
66000,230.549,0.000142957,9.460858825
66200,230.001,0.000139193,9.189862487
66400,229.452,0.00013552,8.926005167
66600,228.904,0.000131935,8.66912563
66800,228.355,0.000128437,8.419039972
67000,227.807,0.000125025,8.175716461
67200,227.258,0.000121695,7.938780764
67400,226.71,0.000118446,7.708199906
67600,226.162,0.000115277,7.483834851
67800,225.614,0.000112185,7.265453558
68000,225.065,0.000109169,7.052923745
68200,224.517,0.000106227,6.846144169
68400,223.969,0.000103358,6.644983415
68600,223.421,0.00010056,6.449278765
68800,222.873,9.78309E-05,6.258862363
69000,222.325,9.51698E-05,6.073644257
69200,221.777,9.25749E-05,5.893477766
69400,221.229,9.00448E-05,5.718242742
69600,220.681,0.000087578,5.547813585
69800,220.133,0.000085173,5.382065639
70000,219.585,8.28284E-05,5.220881492
70200,219.037,8.05429E-05,5.064150905
70400,218.489,7.83151E-05,4.911758181
70600,217.941,7.61437E-05,4.763594762
70800,217.394,7.40274E-05,4.619574158
71000,216.846,7.19649E-05,4.479546355
71200,216.298,6.99551E-05,4.343439523
71400,215.751,6.79965E-05,4.211155414
71600,215.203,6.60882E-05,4.082574683
71800,214.655,6.42289E-05,3.957613572
72000,214.263,0.000062373,3.836239457
72200,213.872,6.05672E-05,3.718376151
72400,213.481,5.88106E-05,3.603933195
72600,213.09,0.000057102,3.492820622
72800,212.699,0.000055441,3.384997845
73000,212.308,5.38238E-05,3.280217253
73200,211.917,5.22518E-05,3.178549261
73400,211.526,0.000050723,3.079857211
73600,211.135,4.92364E-05,2.984065951
73800,210.744,4.77908E-05,2.891088677
74000,210.353,4.63852E-05,2.800851202
74200,209.962,4.50184E-05,2.713267733
74400,209.571,4.36896E-05,2.628277079
74600,209.181,4.23978E-05,2.54581857
74800,208.79,4.11419E-05,2.46578912
75000,208.399,0.000039921,2.388135341
75200,208.008,3.87342E-05,2.312791712
75400,207.618,3.75807E-05,2.239709859
75600,207.227,3.64595E-05,2.168797189
75800,206.837,3.53698E-05,2.100016599
76000,206.445,3.43108E-05,2.033279615
76200,206.055,3.32816E-05,1.968562679
76400,205.665,3.22815E-05,1.905794151
76600,205.274,3.13097E-05,1.844908131
76800,204.884,3.03654E-05,1.785866309
77000,204.493,2.94479E-05,1.728600639
77200,204.103,2.85566E-05,1.673084131
77400,203.712,2.76906E-05,1.619238689
77600,203.322,2.68494E-05,1.567042775
77800,202.931,2.60322E-05,1.516425787
78000,202.541,2.52385E-05,1.467365768
78200,202.151,2.44675E-05,1.419800695
78400,201.76,2.37187E-05,1.373687178
78600,201.37,2.29915E-05,1.328996905
78800,200.98,2.22853E-05,1.285680983
79000,200.59,2.15995E-05,1.24369781
79200,200.199,2.09336E-05,1.203005793
79400,199.809,0.000020287,1.163576037
79600,199.419,1.96592E-05,1.12536724
79800,199.029,1.90497E-05,1.08834452
80000,198.639,0.000018458,1.052473223
