geometric_altitude,geopotential_altitude,temperature_kelvin,temperature_centigrade,pressure,density,gravity
27450.0,27332.0,223.982,-4916.8,17.5617,0.0273143,9.7225
27500.0,27382.0,224.032,-4911.8,17.4294,0.0271026,9.7223
27550.0,27431.0,224.081,-4906.9,17.2982,0.0268926,9.7222
27600.0,27481.0,224.131,-4901.9,17.1679,0.0266842,9.722
27650.0,27530.0,224.18,-4897.0,17.0387,0.0264776,9.7219
27700.0,27580.0,224.23,-4892.0,16.9105,0.0262725,9.7217
27750.0,27629.0,224.279,-4887.1,16.7833,0.0260691,9.7216
27800.0,27679.0,224.329,-4882.1,16.6571,0.0258673,9.7214
27850.0,27729.0,224.379,-4877.1,16.5318,0.0256672,9.7213
27900.0,27778.0,224.428,-4872.2,16.4076,0.0254686,9.7211
27950.0,27828.0,224.478,-4867.2,16.2843,0.0252716,9.721
28000.0,27877.0,224.527,-4862.3,16.1619,0.0250762,9.7208
28050.0,27927.0,224.577,-4857.3,16.0405,0.0248823,9.7207
28100.0,27976.0,224.626,-4852.4,15.92,0.02469,9.7205
28150.0,28026.0,224.676,-4847.4,15.8005,0.0244992,9.7204
28200.0,28075.0,224.725,-4842.5,15.6819,0.02431,9.7202
28250.0,28125.0,224.775,-4837.5,15.5642,0.0241222,9.7201
28300.0,28175.0,224.825,-4832.5,15.4474,0.0239359,9.7199
28350.0,28224.0,224.874,-4827.6,15.3315,0.0237511,9.7198
28400.0,28274.0,224.924,-4822.6,15.2166,0.0235678,9.7196
28450.0,28323.0,224.973,-4817.7,15.1025,0.0233859,9.7195
28500.0,28373.0,225.023,-4812.7,14.9893,0.0232055,9.7193
28550.0,28422.0,225.072,-4807.8,14.8769,0.0230266,9.7192
28600.0,28472.0,225.122,-4802.8,14.7655,0.022849,9.719
28650.0,28521.0,225.171,-4797.9,14.6548,0.0226728,9.7188
28700.0,28571.0,225.221,-4792.9,14.5451,0.0224981,9.7187
28750.0,28621.0,225.271,-4787.9,14.4362,0.0223247,9.7185
28800.0,28670.0,225.32,-4783.0,14.3281,0.0221528,9.7184
28850.0,28720.0,225.37,-4778.0,14.2209,0.0219821,9.7182
28900.0,28769.0,225.419,-4773.1,14.1145,0.0218129,9.7181
28950.0,28819.0,225.469,-4768.1,14.0089,0.0216449,9.7179
29000.0,28868.0,225.518,-4763.2,13.9042,0.0214783,9.7178
29050.0,28918.0,225.568,-4758.2,13.8002,0.0213131,9.7176
29100.0,28967.0,225.617,-4753.3,13.697,0.0211491,9.7175
29150.0,29017.0,225.667,-4748.3,13.5947,0.0209865,9.7173
29200.0,29066.0,225.716,-4743.4,13.4931,0.0208251,9.7172
29250.0,29116.0,225.766,-4738.4,13.3923,0.020665,9.717
29300.0,29166.0,225.816,-4733.4,13.2923,0.0205062,9.7169
29350.0,29215.0,225.865,-4728.5,13.1931,0.0203486,9.7167
29400.0,29265.0,225.915,-4723.5,13.0946,0.0201923,9.7166
29450.0,29314.0,225.964,-4718.6,12.9969,0.0200372,9.7164
29500.0,29364.0,226.014,-4713.6,12.8999,0.0198833,9.7163
29550.0,29413.0,226.063,-4708.7,12.8037,0.0197307,9.7161
29600.0,29463.0,226.113,-4703.7,12.7082,0.0195793,9.716
29650.0,29512.0,226.162,-4698.8,12.6134,0.019429,9.7158
29700.0,29562.0,226.212,-4693.8,12.5194,0.01928,9.7157
29750.0,29611.0,226.261,-4688.9,12.4261,0.0191321,9.7155
29800.0,29661.0,226.311,-4683.9,12.3335,0.0189854,9.7153
29850.0,29710.0,226.36,-4679.0,12.2417,0.0188399,9.7152
29900.0,29760.0,226.41,-4674.0,12.1505,0.0186955,9.715
29950.0,29810.0,226.46,-4669.0,12.06,0.0185522,9.7149
